Name,Sector,ESGRating,Date,Category
EXCEL INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 50,3-Sep-25,Below average
EXIDE INDUSTRIES LIMITED,Auto Components & Equipments,Crisil ESG 58,13-Aug-25,Adequate
EXIM BANK,Financial Institutions,Crisil ESG 50,8-Sep-25,Below average
EXPLEO SOLUTIONS LIMITED,IT Enabled Services,Crisil ESG 62,5-Sep-25,Strong
FDC LIMITED,Pharmaceuticals,Crisil ESG 57,8-Oct-25,Adequate
FEDERAL-MOGUL GOETZE INDIA LIMITED,Auto Components & Equipments,Crisil ESG 52,8-Oct-25,Adequate
FERTILISERS AND CHEMICALS TRAVANCORE LIMITED,Fertilizers,Crisil ESG 44,10-Oct-25,Below average
FIEM INDUSTRIES LIMITED,Auto Components & Equipments,Crisil ESG 54,28-Jul-25,Adequate
FINE ORGANIC INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 55,3-Sep-25,Adequate
FINEOTEX CHEMICAL LIMITED,Specialty Chemicals,Crisil ESG 47,26-Sep-25,Below average
FINO PAYMENTS BANK LIMITED,Other Bank,Crisil ESG 54,09-Mar-26,Adequate
FINO PAYMENTS BANK LIMITED,Other Bank,Crisil ESG 57,15-Sep-25,Adequate
FINOLEX CABLES LIMITED,Cables - Electricals,Crisil ESG 52,14-Oct-25,Adequate
FINOLEX INDUSTRIES LIMITED,Plastic Products - Industrial,Crisil ESG 56,30-Sep-25,Adequate
FIRSTSOURCE SOLUTIONS LIMITED,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Crisil ESG 68,6-Aug-25,Strong
FIVE-STAR BUSINESS FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 61,26-Sep-25,Strong
FOOD CORPORATION OF INDIA,Trading & Distributors,Crisil ESG 43,23-Jan-26,Below average
FORCE MOTORS LIMITED,Passenger Cars & Utility Vehicles,Crisil ESG 55,6-Oct-25,Adequate
FORTIS HEALTHCARE LIMITED,Hospital,Crisil ESG 58,22-Aug-25,Adequate
FSN E-COMMERCE VENTURES LIMITED,E-Retail/ E-Commerce,Crisil ESG 57,11-Sep-25,Adequate
FUSION FINANCE LIMITED,Microfinance Institutions,Crisil ESG 63,8-Aug-25,Strong
G R INFRAPROJECTS LIMITED,Civil Construction,Crisil ESG 50,3-Oct-25,Below average
GABRIEL INDIA LIMITED,Auto Components & Equipments,Crisil ESG 61,12-Sep-25,Strong
GAIL INDIA LIMITED,Gas Transmission/Marketing,Crisil ESG 57,16-Sep-25,Adequate
GALAXY SURFACTANTS LIMITED,Specialty Chemicals,Crisil ESG 57,26-Aug-25,Adequate
GALLANTT ISPAT LIMITED,Iron & Steel Products,Crisil ESG 50,16-Oct-25,Below average
GANESH HOUSING LIMITED,"Residential, Commercial Projects",Crisil ESG 44,22-Sep-25,Below average
GANESHA ECOSPHERE LIMITED,Other Textile Products,Crisil ESG 48,13-Oct-25,Below average
GARDEN REACH SHIPBUILDERS AND ENGINEERS LIMITED,Aerospace & Defense,Crisil ESG 50,3-Oct-25,Below average
GARWARE HI-TECH FILMS LIMITED,Plastic Products - Industrial,Crisil ESG 55,9-Oct-25,Adequate
GARWARE TECHNICAL FIBRES LIMITED,Other Textile Products,Crisil ESG 55,16-Sep-25,Adequate
GATEWAY DISTRIPARKS LIMITED,Logistics Solution Provider,Crisil ESG 55,10-Oct-25,Adequate
GE POWER INDIA LIMITED,Heavy Electrical Equipment,Crisil ESG 56,29-Aug-25,Adequate
GE VERNOVA T&D INDIA LIMITED,Heavy Electrical Equipment,Crisil ESG 58,23-Sep-25,Adequate
GENERAL INSURANCE CORPORATION OF INDIA,General Insurance,Crisil ESG 55,10-Oct-25,Adequate
GENESYS INTERNATIONAL CORPORATION LIMITED,IT Enabled Services,Crisil ESG 55,17-Oct-25,Adequate
GENUS POWER INFRASTRUCTURES LIMITED,Other Electrical Equipment,Crisil ESG 58,15-Oct-25,Adequate
GEOJIT FINANCIAL SERVICES LIMITED,Stockbroking & Allied,Crisil ESG 60,1-Aug-25,Adequate
GFL LIMITED,Holding Company,Crisil ESG 50,10-Oct-25,Below Average
GHCL LIMITED,Commodity Chemicals,Crisil ESG 53,22-Jul-25,Adequate
GIC HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 57,29-Aug-25,Adequate
GILLETTE INDIA LIMITED,Personal Care,Crisil ESG 55,17-Sep-25,Adequate
GLAND PHARMA LIMITED,Pharmaceuticals,Crisil ESG 54,9-Sep-25,Adequate
GLAXO SMITHKLINE PHARMACEUTICALS LIMITED,Pharmaceuticals,Crisil ESG 61,11-Jul-25,Strong
GLENMARK PHARMACEUTICALS LIMITED,Pharmaceuticals,Crisil ESG 61,8-Oct-25,Strong
GLOBAL HEALTH LIMITED,Hospital,Crisil ESG 58,3-Oct-25,Adequate
GLOBUS SPIRITS LIMITED,Breweries & Distilleries,Crisil ESG 50,8-Aug-25,Below average
GMM PFAUDLER LIMITED,Industrial Products,Crisil ESG 50,14-Aug-25,Below average
GNA AXLES LIMITED,Auto Components & Equipments,Crisil ESG 49,25-Jun-25,Below average
GO FASHION (INDIA) LIMITED,Speciality Retail,Crisil ESG 58,19-Sep-25,Adequate
GOCL CORPORATION LIMITED,Explosives,Crisil ESG 37,6-Aug-25,Weak
GODAWARI POWER AND ISPAT LIMITED,Iron & Steel Products,Crisil ESG 48,3-Oct-25,Below average
GODFREY PHILLIPS INDIA LIMITED,Cigarettes & Tobacco Products,Crisil ESG 55,15-Sep-25,Adequate
GODREJ AGROVET LIMITED,Animal Feed,Crisil ESG 54,8-Aug-25,Adequate
GODREJ CONSUMER PRODUCTS LIMITED,Personal Care,Crisil ESG 60,8-Aug-25,Adequate
GODREJ INDUSTRIES LIMITED,Diversified,Crisil ESG 58,26-Aug-25,Adequate
GODREJ PROPERTIES LIMITED,"Residential, Commercial Projects",Crisil ESG 62,13-Aug-25,Strong
GOKALDAS EXPORTS LIMITED,Garments & Apparels,Crisil ESG 54,1-Oct-25,Adequate
GOLDIAM INTERNATIONAL LIMITED,"Gems, Jewellery And Watches",Crisil ESG 56,14-Oct-25,Adequate
GOODYEAR INDIA LIMITED,Tyres & Rubber Products,Crisil ESG 55,12-Aug-25,Adequate
GRANULES INDIA LIMITED,Pharmaceuticals,Crisil ESG 60,25-Aug-25,Adequate
GRAPHITE INDIA LIMITED,Electrodes & Refractories,Crisil ESG 53,14-Aug-25,Adequate
GRASIM INDUSTRIES LIMITED,Diversified,Crisil ESG 61,29-Aug-25,Strong
GRAUER AND WEIL INDIA LIMITED,Commodity Chemicals,Crisil ESG 48,29-Aug-25,Below average
GRAVITA INDIA LIMITED,Industrial Minerals,Crisil ESG 53,22-Sep-25,Adequate
GREAVES COTTON LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 56,7-Aug-25,Adequate
GREENLAM INDUSTRIES LIMITED,Plywood Boards/ Laminates,Crisil ESG 54,30-Jul-25,Adequate
GREENPANEL INDUSTRIES LIMITED,Plywood Boards/ Laminates,Crisil ESG 53,30-Jul-25,Adequate
GREENPLY INDUSTRIES LIMITED,Plywood Boards/ Laminates,Crisil ESG 51,9-Sep-25,Adequate
GRINDWELL NORTON LIMITED,Abrasives & Bearings,Crisil ESG 54,5-Aug-25,Adequate
GTL INFRASTRUCTURE LIMITED,Telecom - Infrastructure,Crisil ESG 47,17-Oct-25,Below average
GTPL HATHWAY LIMITED,TV Broadcasting & Software Production,Crisil ESG 55,14-Oct-25,Adequate
GUFIC BIOSCIENCES LIMITED,Pharmaceuticals,Crisil ESG 53,14-Oct-25,Adequate
GUJARAT ALKALIES AND CHEMICALS LIMITED,Commodity Chemicals,Crisil ESG 50,13-Oct-25,Below average
GUJARAT AMBUJA EXPORTS LIMITED,Other Agricultural Products,Crisil ESG 51,15-Sep-25,Adequate
GUJARAT FLUOROCHEMICALS LIMITED,Specialty Chemicals,Crisil ESG 49,26-Sep-25,Below average
GUJARAT GAS LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 57,9-Oct-25,Adequate
GUJARAT INDUSTRIES POWER COMPANY LIMITED,Power Generation,Crisil ESG 51,6-Oct-25,Adequate
GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,Industrial Minerals,Crisil ESG 54,13-Oct-25,Adequate
GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,Commodity Chemicals,Crisil ESG 51,22-Sep-25,Adequate
GUJARAT PIPAVAV PORT LIMITED,Port & Port services,Crisil ESG 57,17-Sep-25,Adequate
GUJARAT STATE FERTILIZERS AND CHEMICALS LIMITED,Fertilizers,Crisil ESG 54,13-Oct-25,Adequate
GUJARAT STATE PETRONET LIMITED,Gas Transmission/Marketing,Crisil ESG 55,9-Oct-25,Adequate
GULF OIL LUBRICANTS INDIA LIMITED,Lubricants,Crisil ESG 58,16-Oct-25,Adequate
GULSHAN POLYOLS LIMITED,Other Agricultural Products,Crisil ESG 49,3-Oct-25,Below average
H.G. INFRA ENGINEERING LIMITED,Civil Construction,Crisil ESG 52,5-Sep-25,Adequate
HAPPIEST MINDS TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 67,6-Aug-25,Strong
HARSHA ENGINEERS INTERNATIONAL LIMITED,Other Industrial Products,Crisil ESG 52,29-Sep-25,Adequate
HATHWAY CABLE AND DATACOM LIMITED,TV Broadcasting & Software Production,Crisil ESG 48,10-Oct-25,Below average
HATSUN AGRO PRODUCT LIMITED,Dairy Products,Crisil ESG 53,10-Sep-25,Adequate
HAVELLS INDIA LIMITED,Consumer Electronics,Crisil ESG 64,25-Jun-25,Strong
HAWKINS COOKERS LIMITED,Houseware,Crisil ESG 56,21-Aug-25,Adequate
HBL ENGINEERING LIMITED,Other Industrial Products,Crisil ESG 54,25-Sep-25,Adequate
HCL TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 74,11-Sep-25,Leadership
HDB FINANCIAL SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 58,27-Jun-25,Adequate
HDFC ASSET MANAGEMENT COMPANY LIMITED,Asset Management Company,Crisil ESG 66,11-Jul-25,Strong
HDFC BANK LIMITED,Private Sector Bank,Crisil ESG 72,22-Aug-25,Leadership
HDFC LIFE INSURANCE COMPANY LIMITED,Life Insurance,Crisil ESG 64,14-Jul-25,Strong
HDFC SECURITIES LIMITED,Stockbroking & Allied,Crisil ESG 44,28-Aug-25,Below average
HEALTHCARE GLOBAL ENTERPRISES LIMITED,Hospital,Crisil ESG 59,13-Oct-25,Adequate
HEG LIMITED,Electrodes & Refractories,Crisil ESG 53,18-Aug-25,Adequate
HEIDELBERG CEMENT INDIA LIMITED,Cement & Cement Products,Crisil ESG 56,8-Oct-25,Adequate
HEMISPHERE PROPERTIES INDIA LIMITED,"Residential, Commercial Projects",Crisil ESG 39,13-Oct-25,Weak
HERANBA INDUSTRIES LIMITED,Pesticides & Agrochemicals,Crisil ESG 51,1-Oct-25,Adequate
HERITAGE FOODS LIMITED,Dairy Products,Crisil ESG 57,7-Aug-25,Adequate
HERO FINCORP LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 55,11-Aug-25,Adequate
HERO MOTOCORP LIMITED,2/3 Wheelers,Crisil ESG 63,21-Aug-25,Strong
HESTER BIOSCIENCES LIMITED,Pharmaceuticals,Crisil ESG 54,19-Aug-25,Adequate
HFCL LIMITED,Telecom - Infrastructure,Crisil ESG 55,23-Sep-25,Adequate
HIKAL LIMITED,Pharmaceuticals,Crisil ESG 55,30-Sep-25,Adequate
HIMADRI SPECIALITY CHEMICAL LIMITED,Carbon Black,Crisil ESG 57,20-Jun-25,Adequate
HIMATSINGKA SEIDE LIMITED,Other Textile Products,Crisil ESG 48,13-Oct-25,Below average
HINDALCO INDUSTRIES LIMITED,Aluminium,Crisil ESG 60,29-Aug-25,Adequate
HINDUJA GLOBAL SOLUTIONS LIMITED,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Crisil ESG 56,14-Oct-25,Adequate
HINDUJA LEYLAND FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 52,22-Aug-25,Adequate
HINDUSTAN AERONAUTICS LIMITED,Aerospace & Defense,Crisil ESG 52,5-Sep-25,Adequate
HINDUSTAN CONSTRUCTION COMPANY LIMITED,Civil Construction,Crisil ESG 47,8-Aug-25,Below average
HINDUSTAN COPPER LIMITED,Copper,Crisil ESG 45,8-Oct-25,Below average
HINDUSTAN FOODS LIMITED,Diversified FMCG,Crisil ESG 55,3-Oct-25,Adequate
HINDUSTAN OIL EXPLORATION CO. LIMITED,Oil Exploration & Production,Crisil ESG 46,1-Oct-25,Below average
HINDUSTAN PETROLEUM CORPORATION LIMITED,Refineries & Marketing,Crisil ESG 51,6-Sep-25,Adequate
HINDUSTAN UNILEVER LIMITED,Diversified FMCG,Crisil ESG 65,16-Jun-25,Strong
HINDUSTAN ZINC LIMITED,Zinc,Crisil ESG 55,9-Sep-25,Adequate
HINDWARE HOME INNOVATION LIMITED,Sanitary Ware,Crisil ESG 43,10-Oct-25,Below average
HITACHI ENERGY INDIA LIMITED,Heavy Electrical Equipment,Crisil ESG 61,2-Sep-25,Strong
HLE GLASCOAT LIMITED,Industrial Products,Crisil ESG 51,14-Oct-25,Adequate
HMT LIMITED,Industrial Products,Crisil ESG 37,26-Nov-25,Weak
HOME FIRST FINANCE COMPANY INDIA LIMITED,Housing Finance Company,Crisil ESG 64,1-Jul-25,Strong
HONDA INDIA POWER PRODUCTS LIMITED,Industrial Products,Crisil ESG 52,30-Sep-25,Adequate
HONEYWELL AUTOMATION INDIA LIMITED,Industrial Products,Crisil ESG 58,8-Jul-25,Adequate
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,Financial Institutions,Crisil ESG 58,1-Oct-25,Adequate
HUHTAMAKI INDIA LIMITED,Packaging,Crisil ESG 54,19-May-25,Adequate
ICICI BANK LIMITED,Private Sector Bank,Crisil ESG 70,10-Sep-25,Strong
ICICI HOME FINANCE COMPANY LIMITED,Housing Finance Company,Crisil ESG 54,15-Jul-25,Adequate
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,General Insurance,Crisil ESG 64,14-Jul-25,Strong
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Life Insurance,Crisil ESG 63,14-Jul-25,Strong
ICICI SECURITIES LIMITED,Stockbroking & Allied,Crisil ESG 67 (Withdrawn),18-Dec-25,Strong
IDBI BANK LIMITED,Private Sector Bank,Crisil ESG 63,29-Jul-25,Strong
IDFC FIRST BANK LIMITED,Private Sector Bank,Crisil ESG 68,04-Mar-26,Strong
IDFC FIRST BANK LIMITED,Private Sector Bank,Crisil ESG 69,29-Jul-25,Strong
IFB INDUSTRIES LIMITED,Household Appliances,Crisil ESG 57,25-Jul-25,Adequate
IFCI LIMITED,Financial Institutions,Crisil ESG 47,14-Nov-25,Below average
IFGL REFRACTORIES LIMITED,Electrodes & Refractories,Crisil ESG 50,12-Sep-25,Below average
IGARASHI MOTORS INDIA LIMITED,Auto Components & Equipments,Crisil ESG 62,7-Aug-25,Strong
IIFL CAPITAL SERVICES LIMITED,Stockbroking & Allied,Crisil ESG 63,1-Oct-25,Strong
IIFL FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 60,15-Jul-25,Adequate
IIFL HOME FINANCE LIMITED,Housing Finance Company,Crisil ESG 60,14-Aug-25,Adequate
INDIA GLYCOLS LIMITED,Breweries & Distilleries,Crisil ESG 51,15-Oct-25,Adequate
INDIA INFRADEBT LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 57,19-Sep-25,Adequate
INDIA PESTICIDES LIMITED,Pesticides & Agrochemicals,Crisil ESG 50,3-Sep-25,Below average
INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,Hotels & Resorts,Crisil ESG 45,3-Oct-25,Below average
INDIAMART INTERMESH LIMITED,Internet & Catalogue Retail,Crisil ESG 61,13-Jun-25,Strong
INDIAN BANK,Public Sector Bank,Crisil ESG 60,1-Jul-25,Adequate
INDIAN ENERGY EXCHANGE LIMITED,Exchange and Data Platform,Crisil ESG 57,26-Sep-25,Adequate
INDIAN METALS AND FERRO ALLOYS LIMITED,Ferro & Silica Manganese,Crisil ESG 48,14-Aug-25,Below average
INDIAN OIL CORPORATION LIMITED,Refineries & Marketing,Crisil ESG 53,16-Sep-25,Adequate
INDIAN OVERSEAS BANK,Public Sector Bank,Crisil ESG 60,2-Jul-25,Adequate
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"Tour, Travel Related Services",Crisil ESG 60,16-Sep-25,Adequate
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Financial Institutions,Crisil ESG 54,15-Sep-25,Adequate
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,Financial Institutions,Crisil ESG 66,21-Aug-25,Strong
INDIGO PAINTS LIMITED,Paints,Crisil ESG 55,4-Sep-25,Adequate
INDIGRID INFRASTRUCTURE TRUST,Power - Transmission,Crisil ESG 50,6-Aug-25,Below average
INDO COUNT INDUSTRIES LIMITED,Other Textile Products,Crisil ESG 55,11-Aug-25,Adequate
INDO RAMA SYNTHETICS INDIA LIMITED,Other Textile Products,Crisil ESG 47,23-Jul-25,Below average
INDOCO REMEDIES LIMITED,Pharmaceuticals,Crisil ESG 54,23-Sep-25,Adequate
INDOSTAR CAPITAL FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 55,10-Oct-25,Adequate
INDRAPRASTHA GAS LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 57,14-Oct-25,Adequate
INDUS TOWERS LIMITED,Telecom - Infrastructure,Crisil ESG 57,1-Sep-25,Adequate
INDUSIND BANK LIMITED,Private Sector Bank,Crisil ESG 61,10-Sep-25,Strong
INFO EDGE (INDIA) LIMITED,Internet & Catalogue Retail,Crisil ESG 61,11-Sep-25,Strong
INFOBEANS TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 59,19-Aug-25,Adequate
INFOSYS LIMITED,Computers - Software & Consulting,Crisil ESG 77,2-Jul-25,Leadership
INGERSOLL RAND INDIA LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 59,25-Aug-25,Adequate
INOX WIND ENERGY LIMITED,Heavy Electrical Equipment,Crisil ESG 54 (Withdrawn),8-Jan-26,Adequate
INOX WIND LIMITED,Heavy Electrical Equipment,Crisil ESG 55,15-Oct-25,Adequate
INSECTICIDES (INDIA) LIMITED,Pesticides & Agrochemicals,Crisil ESG 54,12-Aug-25,Adequate
INTELLECT DESIGN ARENA LIMITED,Computers - Software & Consulting,Crisil ESG 60,6-Aug-25,Adequate
INTERGLOBE AVIATION LIMITED,Airline,Crisil ESG 58,12-Dec-25,Adequate
INTERGLOBE AVIATION LIMITED,Airline,Crisil ESG 60,4-Sep-25,Adequate
INTERISE TRUST,"Road Assets–Toll, Annuity, Hybrid-Annuity",Crisil ESG 40,30-Jul-25,Weak
IOL CHEMICALS AND PHARMACEUTICALS LIMITED,Pharmaceuticals,Crisil ESG 61,9-Sep-25,Strong
ION EXCHANGE INDIA LIMITED,Water Supply & Management,Crisil ESG 54,23-Sep-25,Adequate
IPCA LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 53,19-Aug-25,Adequate
IRB INFRASTRUCTURE DEVELOPERS LIMITED,Civil Construction,Crisil ESG 56,30-Sep-25,Adequate
IRCON INTERNATIONAL LIMITED,Civil Construction,Crisil ESG 47,30-Sep-25,Below average
ISGEC HEAVY ENGINEERING LIMITED,Civil Construction,Crisil ESG 50,30-Sep-25,Below average
ITC LIMITED,Diversified FMCG,Crisil ESG 61,23-Jul-25,Strong
ITI LIMITED,Telecom - Equipment & Accessories,Crisil ESG 45,31-Oct-25,Below average
J B CHEMICALS AND PHARMACEUTICALS LIMITED,Pharmaceuticals,Crisil ESG 62,19-Aug-25,Strong
J. KUMAR INFRAPROJECTS LIMITED,Civil Construction,Crisil ESG 50,8-Oct-25,Below average
JAGRAN PRAKASHAN LIMITED,Print Media,Crisil ESG 55,1-Oct-25,Adequate
JAGSONPAL PHARMACEUTICALS LIMITED,Pharmaceuticals,Crisil ESG 53,14-Oct-25,Adequate
JAI CORP LIMITED,Plastic Products - Industrial,Crisil ESG 51,29-Dec-25,Adequate
JAI CORP LIMITED,Plastic Products - Industrial,Crisil ESG 53,6-Oct-25,Adequate
JAIN IRRIGATION SYSTEMS LIMITED,Plastic Products - Industrial,Crisil ESG 51,17-Oct-25,Adequate
JAIPRAKASH ASSOCIATES LIMITED,Civil Construction,Crisil ESG 25,17-Oct-25,Weak
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,Crisil ESG 52,02-Jul-25,Adequate
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,Crisil ESG 48,19-Nov-25,Below average
JAMNA AUTO INDUSTRIES LIMITED,Auto Components & Equipments,Crisil ESG 56,8-Oct-25,Adequate
JAMNAGAR UTILITIES AND POWER PRIVATE LIMITED,Power Generation,Crisil ESG 36,29-Sep-25,Weak
JAYASWAL NECO INDUSTRIES LIMITED,Iron & Steel Products,Crisil ESG 46,23-Sep-25,Below average
JBM AUTO LIMITED,Auto Components & Equipments,Crisil ESG 55,12-Sep-25,Adequate
JINDAL POLY FILMS LIMITED,Packaging,Crisil ESG 41,17-Oct-25,Below average
JINDAL SAW LIMITED,Iron & Steel Products,Crisil ESG 51,18-Jun-25,Adequate
JINDAL STAINLESS LIMITED,Iron & Steel,Crisil ESG 58,17-Sep-25,Adequate
JINDAL STEEL LIMITED,Iron & Steel,Crisil ESG 48,17-Sep-25,Below average
JINDAL WORLDWIDE LIMITED,Other Textile Products,Crisil ESG 48,1-Oct-25,Below average
JK CEMENT LIMITED,Cement & Cement Products,Crisil ESG 58,22-Jul-25,Adequate
JK LAKSHMI CEMENT LIMITED,Cement & Cement Products,Crisil ESG 58,8-Oct-25,Adequate
JK PAPER LIMITED,Paper & Paper Products,Crisil ESG 54,12-Sep-25,Adequate
JK TYRE AND INDUSTRIES LIMITED,Tyres & Rubber Products,Crisil ESG 61,02-Dec-25,Strong
JK TYRE AND INDUSTRIES LIMITED,Tyres & Rubber Products,Crisil ESG 56,22-Aug-25,Adequate
JM FINANCIAL ASSET RECONSTRUCTION COMPANY LIMITED,Other Capital Market related Services,Crisil ESG 45,1-Aug-25,Below average
JM FINANCIAL CREDIT SOLUTIONS LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 52,22-Aug-25,Adequate
JM FINANCIAL LIMITED,Investment Company,Crisil ESG 52,26-Aug-25,Adequate
JM FINANCIAL PRODUCTS LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 55,22-Aug-25,Adequate
JM FINANCIAL SERVICES LIMITED,Financial Products Distributor,Crisil ESG 41,1-Aug-25,Below average
JSW ENERGY LIMITED,Power Generation,Crisil ESG 62,29-Jul-25,Strong
JSW HOLDINGS LIMITED,Investment Company,Crisil ESG 52,18-Aug-25,Adequate
JSW STEEL LIMITED,Iron & Steel,Crisil ESG 54,12-Aug-25,Adequate
JTEKT INDIA LIMITED,Auto Components & Equipments,Crisil ESG 55,7-Aug-25,Adequate
JUBILANT FOODWORKS LIMITED,Restaurants,Crisil ESG 57,19-Aug-25,Adequate
JUBILANT INGREVIA LIMITED,Specialty Chemicals,Crisil ESG 55,3-Sep-25,Adequate
JUBILANT PHARMOVA LIMITED,Pharmaceuticals,Crisil ESG 63,11-Sep-25,Strong
JUST DIAL LIMITED,Internet & Catalogue Retail,Crisil ESG 57,19-Sep-25,Adequate
JYOTHY LABS LIMITED,Household Products,Crisil ESG 58,26-Sep-25,Adequate
JYOTI STRUCTURES LIMITED,Heavy Electrical Equipment,Crisil ESG 49,29-Sep-25,Below average
K. P. R. MILL LIMITED,Other Textile Products,Crisil ESG 47,23-Jul-25,Below average
KAJARIA CERAMICS LIMITED,Ceramics,Crisil ESG 54,15-Oct-25,Adequate
KALPATARU PROJECTS INTERNATIONAL LIMITED,Civil Construction,Crisil ESG 55,25-Jul-25,Adequate
KALYAN JEWELLERS INDIA LIMITED,"Gems, Jewellery And Watches",Crisil ESG 54,25-Sep-25,Adequate
KALYANI STEELS LIMITED,Iron & Steel Products,Crisil ESG 48,2-Sep-25,Below average
KAMA HOLDINGS LIMITED,Holding Company,Crisil ESG 52,29-Aug-25,Adequate
KANSAI NEROLAC PAINTS LIMITED,Paints,Crisil ESG 62,15-Jul-25,Strong
KAVERI SEED CO. LIMITED,Other Agricultural Products,Crisil ESG 56,8-Oct-25,Adequate
KAYNES TECHNOLOGY INDIA LIMITED,Industrial Products,Crisil ESG 54,26-Sep-25,Adequate
KEC INTERNATIONAL LIMITED,Civil Construction,Crisil ESG 57,8-Aug-25,Adequate
KEI INDUSTRIES LIMITED,Cables - Electricals,Crisil ESG 59,14-Aug-25,Adequate
KENNAMETAL INDIA LIMITED,Industrial Products,Crisil ESG 54,15-Oct-25,Adequate
KESORAM INDUSTRIES LIMITED,Cement & Cement Products,Crisil ESG 48 (Withdrawn),1-Aug-25,Below average
KEWAL KIRAN CLOTHING LIMITED,Garments & Apparels,Crisil ESG 54,8-Oct-25,Adequate
KFIN TECHNOLOGIES LIMITED,"Depositories, Clearing Houses and Other Intermediaries",Crisil ESG 63,15-Sep-25,Strong
KIOCL LIMITED,Sponge Iron,Crisil ESG 45,20-Oct-25,Below average
KIRI INDUSTRIES LIMITED,Dyes And Pigments,Crisil ESG 44,15-Oct-25,Below average
KIRLOSKAR BROTHERS LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 54,14-Aug-25,Adequate
KIRLOSKAR FERROUS INDUSTRIES LIMITED,Pig Iron,Crisil ESG 53,20-Aug-25,Adequate
KIRLOSKAR INDUSTRIES LIMITED,Other Industrial Products,Crisil ESG 55,26-Aug-25,Adequate
KIRLOSKAR OIL ENGINES LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 56,14-Aug-25,Adequate
KIRLOSKAR PNEUMATIC COMPANY LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 59,5-Aug-25,Adequate
KITEX GARMENTS LIMITED,Garments & Apparels,Crisil ESG 52,1-Oct-25,Adequate
KMC SPECIALITY HOSPITALS (INDIA) LIMITED,Hospital,Crisil ESG 58,13-Oct-25,Adequate
KNR CONSTRUCTIONS LIMITED,Civil Construction,Crisil ESG 52,13-Oct-25,Adequate
KOLTE-PATIL DEVELOPERS LIMITED,"Residential, Commercial Projects",Crisil ESG 45,9-Oct-25,Below average
KOPRAN LIMITED,Pharmaceuticals,Crisil ESG 54,25-Sep-25,Adequate
KOTAK MAHINDRA BANK LIMITED,Private Sector Bank,Crisil ESG 69,18-Aug-25,Strong
KOTAK MAHINDRA INVESTMENTS LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 50,15-Jul-25,Below average
KOTAK MAHINDRA PRIME LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 51,15-Jul-25,Adequate
KOTAK SECURITIES LIMITED,Stockbroking & Allied,Crisil ESG 41,1-Aug-25,Below average
KOVAI MEDICAL CENTER AND HOSPITAL LIMITED,Hospital,Crisil ESG 57,29-Aug-25,Adequate
KPIT TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 64,6-Aug-25,Strong
KRBL LIMITED,Other Agricultural Products,Crisil ESG 51,8-Oct-25,Adequate
KRBL LIMITED,Other Agricultural Products,Crisil ESG 52,19-Sep-25,Adequate
KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,Hospital,Crisil ESG 57,16-Sep-25,Adequate
KRSNAA DIAGNOSTICS LIMITED,Healthcare Service Provider,Crisil ESG 57,10-Oct-25,Adequate
