Name,Sector,ESGRating,Date,Category
APOLLO TYRES LIMITED,Tyres & Rubber Products,Crisil ESG 61,14-Aug-25,Strong
APTUS VALUE HOUSING FINANCE INDIA LIMITED,Housing Finance Company,Crisil ESG 60,9-Sep-25,Adequate
ARCHEAN CHEMICAL INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 53,20-Jun-25,Adequate
ARVIND FASHIONS LIMITED,Speciality Retail,Crisil ESG 56,10-Sep-25,Adequate
ARVIND LIMITED,Garments & Apparels,Crisil ESG 56,11-Aug-25,Adequate
ARVIND SMARTSPACES LIMITED,"Residential, Commercial Projects",Crisil ESG 49,22-Aug-25,Below average
ASAHI INDIA GLASS LIMITED,Auto Components & Equipments,Crisil ESG 54,12-Sep-25,Adequate
ASHIANA HOUSING LIMITED,"Residential, Commercial Projects",Crisil ESG 45,13-Oct-25,Below average
ASHOK LEYLAND LIMITED,Commercial Vehicles,Crisil ESG 58,26-Aug-25,Adequate
ASHOKA BUILDCON LIMITED,Civil Construction,Crisil ESG 50,16-Oct-25,Below average
ASIAN PAINTS LIMITED,Paints,Crisil ESG 66,11-Jul-25,Strong
ASIAN STAR COMPANY LIMITED,"Gems, Jewellery And Watches",Crisil ESG 53,16-Oct-25,Adequate
ASTEC LIFESCIENCES LIMITED,Pesticides & Agrochemicals,Crisil ESG 52,12-Aug-25,Adequate
ASTER DM HEALTHCARE LIMITED,Hospital,Crisil ESG 59,19-Sep-25,Adequate
ASTRA MICROWAVE PRODUCTS LIMITED,Aerospace & Defense,Crisil ESG 55,29-Sep-25,Adequate
ASTRAL LIMITED,Plastic Products - Industrial,Crisil ESG 55,11-Sep-25,Adequate
ASTRAZENECA PHARMA INDIA LIMITED,Pharmaceuticals,Crisil ESG 58,29-Aug-25,Adequate
ATUL LIMITED,Specialty Chemicals,Crisil ESG 50,22-Jul-25,Below average
AU SMALL FINANCE BANK LIMITED,Other Bank,Crisil ESG 68,20-Aug-25,Strong
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Crisil ESG 59,23-Sep-25,Adequate
AUTOMOTIVE AXLES LIMITED,Auto Components & Equipments,Crisil ESG 61,14-Aug-25,Strong
AVADH SUGAR & ENERGY LIMITED,Sugar,Crisil ESG 57,14-Aug-25,Adequate
AVALON TECHNOLOGIES LIMITED,Other Electrical Equipment,Crisil ESG 48,13-Oct-25,Below average
AVANTI FEEDS LIMITED,Animal Feed,Crisil ESG 54,28-Aug-25,Adequate
AVENUE SUPERMARTS LIMITED,Diversified Retail,Crisil ESG 61,28-Aug-25,Strong
AVENUESAI LIMITED,Financial Technology (Fintech),Crisil ESG 53,16-Oct-25,Adequate
AWL AGRI BUSINESS LIMITED,Edible Oil,Crisil ESG 57,25-Jun-25,Adequate
AXIS BANK LIMITED,Private Sector Bank,Crisil ESG 69,29-Jul-25,Strong
AXIS FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 54,27-Jun-25,Adequate
BAHADUR CHAND INVESTMENTS PRIVATE LIMITED,Holding Company,Crisil ESG 51,26-Sep-25,Adequate
BAJAJ AUTO LIMITED,2/3 Wheelers,Crisil ESG 61,8-Aug-25,Strong
